org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
1;2;3;1;1;1;905;60;3;0;6204;0;;2;2;25;0;0;2;1;1;0;2;0;0;;;;;;21.6;;0;0;;407502;6905;N;2
1;1;1;1;3;1;905;60;3;0;6204;;;2;2;23;850;0;3;1;1;0;1;2;0;;;;;;11.66;;0;0;;401853;6905;N;3
1;2;1;1;3;3;905;60;3;0;6204;0;;2;0;24;0;0;1;1;1;0;2;0;1;;;;;;21.6;;4406000;758700;;407431;6905;N;3
1;1;1;1;1;6;905;60;3;0;6204;0;;2;2;22;450;0;2;3;1;1;0;0;0;;;;;;100;;0;0;;430171;6905;N;1
1;5;1;1;2;1;394;60;3;0;7;0;;2;0;0;0;0;2;1;1;1;0;0;1;;;;;;100;;0;0;;430069;6394;N;2
1;5;2;1;1;7;906;60;3;0;28;;;2;2;27;500;0;2;1;1;0;0;1;1;;;;;;0.43;;4409400;693800;;7535;6906;N;2
1;1;5;9;1;3;161;60;3;0;6007;;;2;0;0;0;1;1;1;1;0;1;1;0;;;;;;11.23;;0;0;;385070;6161;O;2
1;1;1;1;8;6;905;60;3;0;6204;;;2;2;0;0;0;0;2;3;1;0;0;0;;;;;;100;;4403400;757700;;430296;6905;N;1
1;2;1;1;1;1;905;60;3;0;6204;;;2;2;20;975;0;1;2;1;0;0;2;1;;;;;;0.86;;0;0;;211151;6905;N;3
1;1;2;9;1;3;938;60;3;0;6202;0;;2;2;92;0;0;1;1;1;0;1;0;1;;;;;;10.8;;0;0;;259296;6938;N;2
1;1;2;1;1;6;905;60;3;0;6204;0;;2;0;0;0;0;2;0;1;0;1;0;0;;;;;;10.8;;0;0;;259187;6905;N;1
1;1;1;1;1;3;905;60;3;0;91;;;2;2;0;300;0;2;1;1;0;1;0;1;;;;;;10.8;;0;0;;261116;6905;N;2
1;1;2;1;1;2;905;60;3;0;6204;;;2;2;24;850;0;1;3;1;0;1;0;1;;;;;;10.8;;0;0;;261386;6905;N;2
1;1;1;1;1;6;905;60;3;0;6204;;;2;2;21;450;0;1;2;1;0;1;0;0;;;;;;10.8;;0;0;;261660;6905;N;1
1;1;1;1;1;7;905;60;3;0;6204;0;;2;2;22;550;0;1;3;1;1;0;0;0;;;;;;100;;4403300;758000;;430111;6905;N;1
5;2;1;1;3;6;88;60;3;0;0;0;;2;2;;;0;2;3;1;0;1;2;1;1;336;0;CORNICHE (GRANDE);;11.66;;;;;401833;6088;O;4
5;1;7;1;1;6;29;60;4;0;0;0;;3;4;;;0;1;1;1;0;1;3;1;2;0;0;CROISETTE (BOULEVARD DE LA);;12.09;;;;;405273;6029;O;5
5;1;7;2;1;3;4;60;4;5;0;0;;1;1;1;0;0;1;1;1;0;1;4;1;0;;0;PASTEUR AV.;;12.52;;;;;406297;6004;O;6
1;1;1;9;1;3;6;60;3;0;14;0;;2;2;2;340;0;1;3;1;0;1;4;0;;;;;;12.52;;0;0;;406298;6006;O;5
5;1;7;1;1;4;4;60;3;2;35;;;3;2;3;0;0;2;2;1;0;1;4;0;0;;0;GRASSE RTE DE;;12.52;;;;;406299;6004;O;5
5;4;9;1;1;5;88;60;3;0;0;;;3;3;;;0;1;1;0;0;1;4;0;1;0;0;CORNIGLION MOLINIER (BD);;12.52;;;;;406300;6088;O;5
1;1;4;1;1;1;150;60;3;0;2564;0;;2;0;16;450;0;2;1;1;0;2;0;1;;;;;;21.6;;0;0;;407421;6150;O;3
5;4;9;1;1;6;88;60;4;0;0;0;;1;2;;;0;1;2;1;0;2;0;0;1;0;0;TUNNEL DU PAILLON;;21.6;;;;;407467;6088;O;2
5;5;9;2;1;3;88;60;4;0;0;;;0;6;;;0;1;1;1;0;2;2;0;2;0;0;FABRON (AV. DE) (JUSQU'AU N? 77);;22.46;;;;;423473;6088;O;4
1;1;5;9;7;6;152;60;3;0;4;;;2;0;12;0;0;1;1;0;0;2;2;1;;;;;;22.46;;0;0;;423474;6152;O;5
5;1;9;2;1;6;88;60;4;;;;;;;;;;;;;0;0;1;1;1;;;ARSON;;0.43;;;;;10951;6088;O;2
5;5;9;2;1;6;88;60;4;;;;;;;;;;;;;0;0;1;1;0;;;rue Auber;;0.43;;;;;8432;6088;O;2
1;1;4;1;1;7;57;60;6;0;0;;;0;0;0;0;0;1;1;1;0;1;1;0;;;;;;11.23;;0;0;;385068;6057;O;2
1;1;1;1;1;3;88;60;1;0;8;;A;1;2;200;50;0;0;0;1;0;1;1;0;;;;;;11.23;;0;0;;385117;6088;O;2
5;5;1;1;1;2;159;60;3;0;0;0;;2;2;;;1;1;1;1;1;0;0;1;1;0;0;PRINCESSE GRACE DE MONACO (AVENUE);;100;;;;;430151;6159;O;2
5;1;7;1;1;3;29;60;4;0;0;;;3;5;;;0;1;1;1;1;0;0;1;9;0;0;COUVERTURE VOIE FERREE;;100;;;;;430309;6029;O;2
5;5;6;3;1;3;27;60;4;;;;;;;;;;;;;0;0;1;1;1;;;coquelicots;;0.43;;;;;10194;6027;O;2
